DATE;TIME;TEMPERATURE;HUMIDITY
2018-04-22;02:38:53;27.000000;59.000000
2018-04-22;02:38:55;27.000000;61.000000
2018-04-22;02:39:02;27.000000;60.000000
2018-04-22;02:38:53;27.000000;59.000000
2018-04-22;02:38:55;27.000000;61.000000
2018-04-22;02:39:02;27.000000;60.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
2018-04-22;02:41:34;28.000000;59.000000
